Etablissement;Annee;Ville;UAI;Code commune;Academie;Departement;Secteur;Presents - L;Presents - ES;Presents - S;Presents - STG;Presents - STI2D;Presents - STD2A;Presents - STMG;Presents - STI;Presents - STL;Presents - ST2S;Presents - TMD;Presents - STHR;Presents - Toutes series;Taux de reussite - L;Taux de reussite - ES;Taux de reussite - S;Taux de reussite - STG;Taux de reussite - STI2D;Taux de reussite - STD2A;Taux de reussite - STMG;Taux de reussite - STI;Taux de reussite - STL;Taux de reussite - ST2S;Taux de reussite - TMD;Taux de reussite - STHR;Taux de reussite - Toutes series;Taux de reussite attendu acad - L;Taux de reussite attendu acad - ES;Taux de reussite attendu acad - S;Taux de reussite attendu acad - STG;Taux de reussite attendu acad - STI2D;Taux de reussite attendu acad - STD2A;Taux de reussite attendu acad - STMG;Taux de reussite attendu acad - STI;Taux de reussite attendu acad - STL;Taux de reussite attendu acad - ST2S;Taux de reussite attendu acad - TMD;Taux de reussite attendu acad - STHR;Taux de reussite attendu acad - Toutes series;Taux de reussite attendu france - L;Taux de reussite attendu france - ES;Taux de reussite attendu france - S;Taux de reussite attendu france - STG;Taux de reussite attendu france - STI2D;Taux de reussite attendu france - STD2A;Taux de reussite attendu france - STMG;Taux de reussite attendu france - STI;Taux de reussite attendu france - STL;Taux de reussite attendu france - ST2S;Taux de reussite attendu france - TMD;Taux de reussite attendu france - STHR;Taux de reussite attendu france - Toutes series;Taux de mentions - L;Taux de mentions - ES;Taux de mentions - S;Taux de mentions - STI2D;Taux de mentions - STD2A;Taux de mentions - STMG;Taux de mentions - STL;Taux de mentions - ST2S;Taux de mentions - TMD;Taux de mentions - STHR;Taux de mentions - Toutes series;Taux de mentions attendu - L;Taux de mentions attendu - ES;Taux de mentions attendu - S;Taux de mentions attendu - STI2D;Taux de mentions attendu - STD2A;Taux de mentions attendu - STMG;Taux de mentions attendu - STL;Taux de mentions attendu - ST2S;Taux de mentions attendu - TMD;Taux de mentions attendu - STHR;Taux de mentions attendu - Toutes series;Structure pedagogique 5 groupes;Structure pedagogique 7 groupes;Pourcentage bacheliers sortants 2de 1re Terminale Etablissement;Pourcentage bacheliers sortants Terminales Etablissement;Pourcentage bacheliers sortants 2de 1re Terminale Acad;Pourcentage bacheliers sortants Terminale Acad;Pourcentage bacheliers sortants 2de 1re Terminale France;Pourcentage bacheliers sortants Terminale France;Effectif de seconde;Effectif de premiere;Effectif de terminale;Taux d'acces 2nde-bac;Taux d'acces attendu acad 2nde-bac;Taux d'acces attendu france 2nde-bac;Taux d'acces 1ere-bac;Taux d'acces attendu acad 1ere-bac;Taux d'acces attendu france 1ere-bac;Taux d'acces terminale-bac;Taux d'acces attendu france terminale-bac;Region;Code region;code_departement;Departement.1;Valeur ajoutee du taux de reussite - Toutes series;Valeur ajoutee du taux d'acces 2nde-bac;Valeur ajoutee du taux de mentions - Toutes series;Valeur ajoutee du taux de reussite - L;Valeur ajoutee du taux de reussite - ES;Valeur ajoutee du taux de reussite - S;Valeur ajoutee du taux de reussite - STG;Valeur ajoutee du taux de reussite - STI2D;Valeur ajoutee du taux de reussite - STD2A;Valeur ajoutee du taux de reussite - STMG;Valeur ajoutee du taux de reussite - STI;Valeur ajoutee du taux de reussite - STL;Valeur ajoutee du taux de reussite - ST2S;Valeur ajoutee du taux de reussite - TMD;Valeur ajoutee du taux de reussite - STHR;Valeur ajoutee du taux d'acces 1ere-bac;Valeur ajoutee du taux d'acces terminale-bac;Valeur ajoutee du taux de mentions - L;Valeur ajoutee du taux de mentions - ES;Valeur ajoutee du taux de mentions - S;Valeur ajoutee du taux de mentions - STI2D;Valeur ajoutee du taux de mentions - STD2A;Valeur ajoutee du taux de mentions - STMG;Valeur ajoutee du taux de mentions - STL;Valeur ajoutee du taux de mentions - ST2S;Valeur ajoutee du taux de mentions - TMD;Valeur ajoutee du taux de mentions - STHR;Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
LYCEE CARNOT;2019;PARIS 17;0750704H;75117;PARIS;Paris;PU;21.0;100.0;171.0;;;;;;;;;;292;95.0;98.0;96.0;;;;;;;;;;97;;;;;;;;;;;;;;98;97;96;;;;;;;;;;96;95.0;70.0;64.0;;;;;;;;68.0;84;64;64;;;;;;;;65;;A;;;;;;;314.0;278.0;299.0;93;;88;95.0;;95;98.0;98;Ile-de-France;11;75;Paris;1;5;3;-3;1;0;;;;;;;;;;0;0;11;6;0;;;;;;;;0750704H;Lycée Carnot;Lycée;Public;145 boulevard Malesherbes;;75017 Paris;75017.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 56 21 36 36;01 56 21 36 37;http://www.lyceecarnot-paris.fr;ce.0750704H@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;19750704900017.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16365;48.8844861599,2.30782961848;SANS OBJET;Paris;Paris;Ile-de-France;649240.7;6865163.6;EPSG:2154;;48.88448615992047;2.3078296184779563;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752552S;;;01000;BASSIN PARIS
LYCEE MAURICE RAVEL;2019;PARIS 20;0750715V;75120;PARIS;Paris;PU;53.0;107.0;116.0;;;;71.0;;;;;;347;91.0;100.0;94.0;;;;96.0;;;;;;96;;;;;;;;;;;;;;94;95;92;;;;84;;;;;;92;60.0;60.0;54.0;;;58.0;;;;;58.0;57;55;44;;;29;;;;;46;;B;;;;;;;422.0;413.0;382.0;94;;85;96.0;;92;96.0;95;Ile-de-France;11;75;Paris;4;9;12;-3;5;2;;;;12;;;;;;4;1;3;5;10;;;29;;;;;0750715V;Lycée Maurice Ravel;Lycée;Public;89 cours de Vincennes;;75020 Paris;75020.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 44 64 87 40;01 43 72 64 21;http://www.lycee-maurice-ravel.fr;ce.0750715V@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;;0.0;19750715500012.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3127;48.8476718216,2.40832011851;SANS OBJET;Paris;Paris;Ile-de-France;656579.2;6861010.2;EPSG:2154;;48.84767182161589;2.4083201185107144;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752556W;;;01000;BASSIN PARIS
LYCEE LES FRANCS BOURGEOIS;2019;PARIS 04;0753820V;75104;PARIS;Paris;PR;44.0;69.0;108.0;;;;23.0;;;;;;244;100.0;100.0;99.0;;;;100.0;;;;;;100;;;;;;;;;;;;;;98;99;99;;;;98;;;;;;98;84.0;94.0;90.0;;;96.0;;;;;91.0;80;76;81;;;71;;;;;79;;B;;;;;;;293.0;257.0;252.0;93;;89;98.0;;96;99.0;99;Ile-de-France;11;75;Paris;2;4;12;2;1;0;;;;2;;;;;;2;0;4;18;9;;;25;;;;;0753820V;Lycée privé des Francs Bourgeois - La Salle;Lycée;Privé;21 rue Saint-Antoine;;75004 Paris;75004.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 44 59 20 90;;http://www.fblasalle.fr;accueil@fblasalle.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;32365825200032;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5150;48.8535443098,2.3657803239;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;653462.7;6861687.4;EPSG:2154;;48.85354430984694;2.365780323902938;Numéro de rue;1968-02-27;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE STANISLAS;2019;PARIS 06;0753840S;75106;PARIS;Paris;PR;31.0;68.0;190.0;;;;;;;;;;289;100.0;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;100;99;99;;;;;;;;;;99;100.0;100.0;100.0;;;;;;;;100.0;96;90;93;;;;;;;;92;;A;;;;;;;310.0;299.0;302.0;89;;93;96.0;;97;100.0;100;Ile-de-France;11;75;Paris;1;-4;8;0;1;1;;;;;;;;;;-1;0;4;10;7;;;;;;;;0753840S;Lycée privé Stanislas;Lycée;Privé;22 rue Notre-Dame-des-Champs;;75006 Paris Cedex 06;75279.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 84 88 00;01 42 84 88 53;http://www.stanislas.fr;secretariat.lycee@stanislas.fr;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;57222293300010.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19788;48.8457107395,2.32769973106;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650661.1;6860839.5;EPSG:2154;;48.845710739452144;2.327699731060317;Numéro de rue;1968-02-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE PASCAL;2019;PARIS 16;0753919C;75116;PARIS;Paris;PR;21.0;31.0;26.0;;;;;;;;;;78;100.0;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;97;98;94;;;;;;;;;;96;95.0;97.0;92.0;;;;;;;;95.0;70;69;52;;;;;;;;63;;A;;;;;;;77.0;85.0;76.0;85;;87;90.0;;94;99.0;98;Ile-de-France;11;75;Paris;4;-2;32;3;2;6;;;;;;;;;;-4;1;25;28;40;;;;;;;;0753919C;Lycée privé Pascal;Lycée;Privé;33 boulevard Lannes;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 04 14 23;01 45 04 30 38;http://www.ecolepascal.fr;ce.0753919c@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;69204166800017.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13276;48.8670489693,2.27221969687;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;646611.5;6863248.2;EPSG:2154;;48.86704896932493;2.272219696869433;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;1.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE PASCAL;2019;PARIS 16;0753919C;75116;PARIS;Paris;PR;21.0;31.0;26.0;;;;;;;;;;78;100.0;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;97;98;94;;;;;;;;;;96;95.0;97.0;92.0;;;;;;;;95.0;70;69;52;;;;;;;;63;;A;;;;;;;77.0;85.0;76.0;85;;87;90.0;;94;99.0;98;Ile-de-France;11;75;Paris;4;-2;32;3;2;6;;;;;;;;;;-4;1;25;28;40;;;;;;;;0753919C;Lycée privé Pascal;Lycée;Privé;13-15 rue de Montevideo;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 04 14 23;;http://www.ecolepascal.fr;ce.0753919c@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;69204166800017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21884;48.8670489693,2.27221969687;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;646611.5;6863248.2;EPSG:2154;;48.86704896932493;2.272219696869433;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;1.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE CARCADO SAISSEVAL;2019;PARIS 06;0754029X;75106;PARIS;Paris;PR;;;;;;;69.0;;;67.0;;;136;;;;;;;100.0;;;100.0;;;100;;;;;;;;;;;;;;;;;;;;96;;;97;;;97;;;;;;46.0;;75.0;;;60.0;;;;;;54;;61;;;57;;F;;;;;;;103.0;119.0;125.0;80;;75;92.0;;91;100.0;98;Ile-de-France;11;75;Paris;3;5;3;;;;;;;4;;;3;;;1;2;;;;;;-8;;14;;;0754029X;Lycée privé Carcado Saisseval;Lycée;Privé;121 boulevard Raspail - CS 10622;;75006 Paris;75006.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 45 48 43 46;;http://www.carcado-saisseval.com;contact@carcado-saisseval.com;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;;0.0;78428100800010.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11304;48.8453654335,2.32882972697;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650743.7;6860800.4;EPSG:2154;;48.84536543354021;2.3288297269730296;Numéro de rue;1968-03-15;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;30;;;;01000;BASSIN PARIS
LYCEE STE URSULE-LOUISE BETTIGNIES;2019;PARIS 17;0754081D;75117;PARIS;Paris;PR;12.0;48.0;55.0;;;;;;;;;;115;100.0;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;98;97;98;;;;;;;;;;98;100.0;71.0;89.0;;;;;;;;83.0;80;61;81;;;;;;;;73;;A;;;;;;;139.0;132.0;131.0;94;;91;98.0;;96;100.0;99;Ile-de-France;11;75;Paris;2;3;10;2;3;2;;;;;;;;;;2;1;20;10;8;;;;;;;;0754081D;Lycée privé Sainte-Ursule Louise de Bettignies;Lycée;Privé;25 rue Daubigny;;75017 Paris;75017.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 27 75 81;01 42 27 96 55;http://www.ste-ursule.fr;ce.0754081d@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;77569150400028;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16765;48.8859077773,2.30747934149;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;649216.4;6865321.9;EPSG:2154;;48.88590777729157;2.3074793414882504;Numéro de rue;1968-03-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE CHARLES DE FOUCAULD;2019;PARIS 18;0754086J;75118;PARIS;Paris;PR;28.0;30.0;66.0;;;;55.0;;;;;;179;100.0;100.0;100.0;;;;100.0;;;;;;100;;;;;;;;;;;;;;96;96;93;;;;94;;;;;;94;86.0;83.0;67.0;;;85.0;;;;;78.0;66;57;48;;;53;;;;;54;;B;;;;;;;208.0;201.0;198.0;96;;85;100.0;;92;100.0;96;Ile-de-France;11;75;Paris;6;11;24;4;4;7;;;;6;;;;;;8;4;20;26;19;;;32;;;;;0754086J;Lycée privé Charles de Foucauld;Lycée;Privé;5 rue de la Madone;;75018 Paris;75018.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 46 07 72 59;;http://www.lamadone.fr;administratif@lamadone.fr;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;33875689300016.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6617;48.8926023754,2.36118975915;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;653161.0;6866033.1;EPSG:2154;;48.89260237540899;2.361189759148632;Numéro de rue;1968-03-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE BETH HANNA;2019;PARIS 19;0754325U;75119;PARIS;Paris;PR;;25.0;42.0;;;;;;;;;;67;;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;;81;90;;;;;;;;;;87;;44.0;57.0;;;;;;;;52.0;;24;42;;;;;;;;35;;A;;;;;;;80.0;79.0;88.0;63;;76;77.0;;83;82.0;88;Ile-de-France;11;75;Paris;13;-13;17;;19;10;;;;;;;;;;-6;-6;;20;15;;;;;;;;0754325U;Lycée privé Beth Hanna;Lycée;Privé;49-51 rue Petit;;75019 Paris;75019.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 52 72 50;01 40 03 65 73;;ce.0754325u@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78441431000101.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19361;48.885451718,2.38539013038;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654929.2;6865223.9;EPSG:2154;;48.88545171798452;2.3853901303780534;Numéro de rue;1989-03-02;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE GUILLAUME TIREL (GENERAL ET TECHNO.);2019;PARIS 14;0754476H;75114;PARIS;Paris;PU;;;;;;;;;;;;23.0;23;;;;;;;;;;;;100.0;100;;;;;;;;;;;;;;;;;;;;;;;;;98;98;;;;;;;;;;74.0;74.0;;;;;;;;;;58;58;;D;;;;;;;24.0;22.0;23.0;100;;81;100.0;;85;100.0;96;Ile-de-France;11;75;Paris;2;19;16;;;;;;;;;;;;2;15;4;;;;;;;;;;16;0754476H;Lycée hôtelier Guillaume Tirel;Lycée;Public;237 boulevard Raspail;;75014 Paris;75014.0;75100;Paris;075;1.0;11.0;;;0.0;1.0;0.0;01 44 84 19 00;01 44 84 19 49;http://www.lyceeguillaumetirel.fr;ce.0754476h@ac-paris.fr;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;;1.0;19750447500025;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14395;48.838715269,2.33087050052;SANS OBJET;Paris;Paris;Ile-de-France;650887.2;6860059.7;EPSG:2154;;48.83871526902898;2.330870500519234;Numéro de rue;1992-09-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;99;0752846L;;;01000;BASSIN PARIS
LYCEE PASSY-SAINT-HONORE;2019;PARIS 16;0754666P;75116;PARIS;Paris;PR;15.0;45.0;17.0;;;;109.0;;;30.0;;;216;100.0;100.0;94.0;;;;100.0;;;100.0;;;100;;;;;;;;;;;;;;96;96;95;;;;97;;;97;;;96;73.0;60.0;47.0;;;80.0;;70.0;;;71.0;61;57;55;;;61;;60;;;60;;C;;;;;;;129.0;209.0;212.0;76;;84;96.0;;93;100.0;96;Ile-de-France;11;75;Paris;4;-8;11;4;4;-1;;;;3;;;3;;;3;4;12;3;-8;;;19;;10;;;0754666P;Lycée privé Passy Saint-Honoré;Lycée;Privé;117 avenue Victor Hugo;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 53 70 12 70;01 45 53 18 85;http://www.passy-st-honore.eu;admin@passy-st-honore.com;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;40483807000013.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17986;48.8682758145,2.2823696593;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;647357.3;6863377.8;EPSG:2154;;48.86827581446612;2.282369659298864;Numéro de rue;1993-09-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE THERESE CHAPPUIS;2019;PARIS 07;0754860A;75107;PARIS;Paris;PR;7.0;19.0;;;;;;;;;;;26;100.0;95.0;;;;;;;;;;;96;;;;;;;;;;;;;;ND;95;;;;;;;;;;;95;57.0;32.0;;;;;;;;;38.0;ND;46;;;;;;;;;49;;A;;;;;;;18.0;13.0;20.0;77;;77;100.0;;88;100.0;92;Ile-de-France;11;75;Paris;1;0;-11;ND;0;;;;;;;;;;;12;8;ND;-14;;;;;;;;;0754860A;Lycée privé Thérèse Chappuis - Lycée privé Saint François de Sales-Thérèse Chappuis;Lycée;Privé;52 rue Vaneau;;75007 Paris;75007.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 53 63 26 35;01 53 63 26 36;http://www.theresechappuis.fr;secretariat@theresechappuis.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78430835500014.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4850;48.8510310177,2.31921041244;CONTRAT ASSOCIATION PARTIE DES CLASSES;Paris;Paris;Ile-de-France;650043.2;6861436.4;EPSG:2154;;48.85103101767992;2.319210412442488;Numéro de rue;1996-09-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;31;;;;01000;BASSIN PARIS
LYCEE LUCIEN DE HIRSCH;2019;PARIS 19;0754965P;75119;PARIS;Paris;PR;;21.0;48.0;;;;;;;;;;69;;100.0;100.0;;;;;;;;;;100;;;;;;;;;;;;;;;91;89;;;;;;;;;;89;;71.0;88.0;;;;;;;;83.0;;39;41;;;;;;;;41;;A;;;;;;;84.0;68.0;69.0;87;;84;94.0;;93;100.0;96;Ile-de-France;11;75;Paris;11;3;42;;9;11;;;;;;;;;;1;4;;32;47;;;;;;;;0754965P;Lycée privé Lucien de Hirsch;Lycée;Privé;12-14 rue Henri Murger;;75019 Paris;75019.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 08 84 14;01 42 41 54 48;http://www.luciendehirsch.net;ldhlycee@hotmail.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78477860700027;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10513;48.8796597229,2.37662962296;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654281.7;6864584.9;EPSG:2154;;48.87965972290767;2.3766296229591246;Numéro de rue;1999-09-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
LYCEE HONORE DE BALZAC;2019;PARIS 17;0750705J;75117;PARIS;Paris;PU;46.0;78.0;86.0;;;;69.0;;;;;;279;98.0;99.0;93.0;;;;97.0;;;;;;96;;;;;;;;;;;;;;96;93;91;;;;80;;;;;;90;78.0;55.0;50.0;;;33.0;;;;;52.0;70;44;43;;;24;;;;;43;;B;;;;;;;346.0;309.0;292.0;90;;78;96.0;;89;98.0;93;Ile-de-France;11;75;Paris;6;12;9;2;6;2;;;;17;;;;;;7;5;8;11;7;;;9;;;;;0750705J;Lycée international de Paris Honoré de Balzac;Lycée;Public;118 boulevard Bessières;;75017 Paris;75017.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 53 11 12 13;01 53 11 12 00;http://www.ac-paris.fr/serail/jcms/s1_95163/ee-lg-clg-honore-de-balzac-portail;ce.0750705J@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;;1.0;19750705600012.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2096;48.8952390364,2.31527021515;SANS OBJET;Paris;Paris;Ile-de-France;649796.7;6866354.5;EPSG:2154;;48.895239036379714;2.315270215148869;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0752554U;;;01000;BASSIN PARIS
LYCEE MOLIERE;2019;PARIS 16;0750703G;75116;PARIS;Paris;PU;67.0;65.0;69.0;;;;;;;;;;201;96.0;94.0;77.0;;;;;;;;;;89;;;;;;;;;;;;;;93;92;88;;;;;;;;;;91;57.0;48.0;26.0;;;;;;;;43.0;49;42;35;;;;;;;;42;;A;;;;;;;241.0;207.0;200.0;84;;80;86.0;;89;89.0;94;Ile-de-France;11;75;Paris;-2;4;1;3;2;-11;;;;;;;;;;-3;-5;8;6;-9;;;;;;;;0750703G;Lycée Molière;Lycée;Public;71 rue du Ranelagh;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 88 14 27;01 42 24 98 31;http://www.lycee-moliere.fr;ce.0750703g@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0.0;19750703100015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18088;48.8550032332,2.27210991621;SANS OBJET;Paris;Paris;Ile-de-France;646591.1;6861908.9;EPSG:2154;;48.85500323319088;2.272109916213486;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752551R;;;01000;BASSIN PARIS
